0	0.005	0.025	0.01	0.005	0.005	0.015	0.005	0.3	0.005	0.015	0.02	0.015	0.005	0.01	0.005	0.015	0.005	0.005	0.01	0	0	0	0	0	0.005	0.005	0.005	0.01	0	0.02	0.01	0.01	0.015	0.01	0.02	0	0.01	0	0	0.01	0.01	0.005	0	0.01	0.01	0.01	0	0	0	0.005	0.01	0.015	0.025	0.01	0.01	0.005	0.005	0.005	0	0.01	0	0.005	0.005	0.005	0	0.005	0	0.005	0.02	0	0	0.005	0.005	0.005	0.005	0.005	0	0.01	0.005	0	0.005	0.005	0	0.005	0.02	0.01	0	0.005	0.01	0.01	0.01	0.005	0.01	0.005	0.005	0	0.005	0.005	0.005	0.005	0.01	0	0	0.005	0.005	0.01	0.01	0	0.005	0	0.01	0.005	0.01	0	0.01	0.005	0	0.005	0.01	0	0.005	0.015	0.01	0.005	0.005	0	0.005	0.03	0.005	0.01	0.005	0.01	0.005	0	0.01	0.005	0.005	0.01	0	0.01	0	0.005	0.01	0.015	0.02	0.01	0.005	0.01	0	0.005	0.005	0	0	0.01	0	0	0.005	0.01	0.015	0.005	0.005	0.005	0.015	0	0	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0.005	0	0.03	0	0.01	0	0.015	0.005	0.005	0.005	0	0.01	0.01	0.005	0	0	0.005	0	0	0	0.01	0.005	0.005	0.005	0	0.005	0	
0.005	0	0.005	0.005	0.005	0.005	0.015	0.005	0.455	0	0.015	0	0	0	0.01	0.005	0	0.01	0.01	0.005	0.005	0.01	0.005	0.005	0.005	0.005	0	0.005	0.005	0.015	0.005	0.005	0	0.005	0.005	0.01	0.005	0.005	0.005	0.01	0.005	0.005	0	0.01	0	0.005	0.01	0.005	0.005	0.005	0.01	0.005	0.01	0.005	0.01	0.005	0.01	0.005	0	0.005	0	0.005	0.005	0	0	0.005	0	0.005	0	0.01	0.01	0.01	0	0.01	0.005	0	0.01	0.01	0.01	0.01	0.005	0	0.015	0.01	0.005	0	0.005	0.005	0	0.01	0.005	0	0.01	0.01	0.005	0.005	0.005	0.005	0	0.02	0	0.02	0.005	0.005	0.01	0	0.01	0.005	0.005	0.015	0.005	0.005	0	0.005	0.01	0.01	0	0.005	0	0	0.005	0	0.02	0	0.01	0.005	0.02	0.005	0.025	0	0.005	0	0	0.005	0.005	0.005	0	0	0	0.005	0	0.005	0	0.005	0.01	0	0	0	0.005	0.005	0	0	0.005	0.01	0	0.005	0.01	0.005	0.005	0.005	0	0.01	0.01	0	0.005	0.015	0.005	0	0	0.005	0.015	0.01	0	0.01	0.005	0	0.01	0	0.01	0.01	0	0	0.005	0.005	0.01	0.01	0	0.005	0.015	0.005	0.01	0.005	0.01	0.01	0.005	0	0	0.005	0	0.005	
0	0	0.01	0.02	0.005	0.01	0.02	0	0.395	0	0.025	0.005	0	0	0.01	0.01	0.025	0.005	0.01	0.015	0.005	0.005	0.01	0	0.005	0	0	0.005	0.005	0.01	0	0.01	0	0.005	0.005	0.01	0	0	0	0	0.015	0.005	0	0.005	0	0	0.01	0	0	0	0	0.01	0.01	0.025	0.01	0.005	0.015	0	0	0	0	0	0	0	0.005	0	0.005	0	0	0.015	0.005	0.005	0	0.015	0	0	0	0.005	0.01	0.01	0	0.005	0.02	0.005	0.015	0	0.005	0.015	0	0.015	0.015	0.02	0.005	0.02	0.005	0	0.005	0.005	0	0.035	0.005	0.015	0	0.005	0.025	0	0.04	0.005	0.01	0.01	0	0.005	0	0.005	0.005	0.005	0	0	0	0.005	0.005	0	0.025	0	0.02	0	0.01	0.02	0.01	0	0.01	0	0	0.015	0	0.02	0	0	0.005	0	0.005	0	0	0.01	0	0	0	0	0.005	0	0	0.005	0.005	0.005	0	0	0.005	0.005	0.005	0.005	0.005	0	0.01	0.02	0	0	0.005	0	0	0.01	0.01	0	0	0.005	0.005	0.01	0.01	0	0.01	0.015	0	0	0	0	0.005	0.015	0	0	0	0	0.015	0	0.015	0.015	0.005	0	0	0.005	0	0	
0.005	0	0.015	0.02	0.02	0.025	0.015	0	0.44	0	0.035	0.005	0	0	0.015	0.01	0.005	0	0	0.01	0.005	0.005	0	0	0	0	0	0.005	0.01	0.01	0	0.005	0.005	0.015	0.005	0.015	0	0.005	0	0	0.015	0.025	0	0.005	0	0.005	0.01	0.005	0	0	0.005	0	0.005	0.03	0.005	0.01	0.01	0.005	0	0	0	0	0.005	0	0	0	0.005	0	0	0.02	0	0	0	0.02	0	0	0.005	0.005	0	0	0.005	0	0.01	0.005	0.005	0.01	0.005	0	0	0.005	0	0.005	0.015	0.005	0.005	0	0	0.015	0	0.025	0	0.015	0	0	0.01	0	0.045	0.005	0.005	0.005	0	0.01	0	0.01	0.005	0.01	0	0	0	0.01	0.005	0	0.015	0.005	0.01	0	0.01	0.01	0.01	0	0.02	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0.01	0.005	0	0	0.005	0.005	0	0.005	0	0.015	0.005	0	0.01	0.005	0	0.015	0.005	0.015	0	0.01	0.005	0	0.005	0	0	0.005	0.02	0	0	0.02	0.005	0.015	0.01	0.005	0.015	0.03	0	0	0	0	0.01	0.005	0.005	0.005	0.01	0	0.005	0	0	0.005	0	0	0	0	0	0	
0.005	0	0.01	0.005	0.005	0	0.02	0	0.5	0	0.025	0.02	0	0	0.025	0	0.005	0	0	0.005	0.01	0	0	0	0.005	0.005	0	0.005	0.015	0.01	0.01	0	0	0.01	0.015	0.005	0	0	0	0	0.02	0.01	0	0	0.01	0	0.015	0	0	0.005	0	0.005	0.005	0.035	0	0	0.005	0	0	0	0	0	0	0.005	0	0	0.005	0.005	0.005	0.025	0.005	0	0	0.01	0	0.005	0	0	0.005	0.005	0	0	0.005	0	0	0.015	0	0.005	0	0.015	0.01	0.015	0	0.025	0.005	0	0	0	0	0.05	0	0.015	0	0	0	0	0.03	0.01	0	0.005	0.005	0.02	0	0.015	0	0.005	0	0	0	0.01	0.005	0	0.01	0.005	0.015	0.005	0	0.02	0.03	0	0.015	0	0	0.005	0	0.02	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0.005	0	0.005	0.005	0	0.005	0.005	0.005	0.02	0	0.01	0.015	0.01	0.01	0.005	0.01	0.005	0	0	0.015	0.01	0	0.01	0	0.01	0	0.005	0	0	0	0	0	0	0.005	0.005	0	0	0.005	0.005	0.005	0	0	0.03	0	0	0	0	0	0	
0	0	0.02	0	0.005	0	0.01	0	0.505	0	0.02	0.03	0.005	0	0.005	0	0.02	0	0.015	0.015	0.005	0.005	0	0	0	0	0	0.005	0.025	0	0.015	0.01	0.01	0.015	0.01	0.015	0	0.005	0	0	0.015	0.005	0	0.005	0.005	0.005	0.005	0	0.005	0	0	0	0.01	0.01	0.005	0.005	0.005	0.005	0	0	0	0.01	0	0	0	0	0.005	0.005	0	0.03	0.015	0.005	0	0	0.005	0.01	0	0	0.005	0.01	0	0	0.005	0	0.005	0.015	0.005	0.005	0	0.015	0.02	0.015	0	0.015	0	0	0	0.005	0	0.035	0	0.01	0	0	0.005	0	0.03	0	0	0.005	0.005	0	0	0.005	0	0.01	0	0.005	0	0.005	0	0	0.015	0	0.02	0.005	0.01	0.01	0.02	0	0	0.005	0	0.005	0	0.01	0	0	0.01	0	0.005	0	0	0	0.015	0	0.005	0.01	0	0	0	0	0	0.005	0	0.005	0	0.005	0.005	0.01	0	0.01	0.005	0	0	0	0.005	0.005	0	0	0.01	0.01	0	0.025	0.005	0.01	0	0	0.015	0.005	0	0	0.01	0	0.015	0.01	0.005	0	0.005	0.005	0	0.005	0	0.02	0	0	0	0.005	0.005	0	
0	0	0.02	0	0.005	0.005	0.01	0	0.475	0	0.015	0	0	0	0.005	0	0.02	0.005	0	0.005	0.005	0	0.005	0	0	0	0	0	0	0.025	0.01	0.01	0	0.03	0	0.005	0	0	0	0	0.015	0.01	0	0.005	0	0.005	0.015	0	0	0	0.01	0.005	0.02	0.025	0.005	0.005	0.005	0.015	0.005	0	0	0	0	0	0.005	0	0.005	0	0	0.025	0	0.01	0	0.015	0	0	0	0	0.005	0	0.005	0	0.005	0.005	0.01	0	0.005	0.005	0	0	0.005	0.01	0.015	0.025	0.005	0	0	0.005	0	0.03	0	0.01	0	0	0	0	0.03	0	0.005	0.005	0	0.025	0.005	0.03	0	0.01	0.005	0	0	0	0	0.005	0	0.005	0.01	0.005	0.015	0.03	0.02	0	0.005	0	0	0.005	0	0.01	0	0	0	0	0	0	0	0.01	0.02	0	0.01	0	0	0	0	0	0	0	0.015	0	0	0.01	0.005	0.005	0	0.02	0	0.005	0	0	0.02	0	0	0	0.01	0.015	0.005	0.015	0.005	0.005	0	0.005	0.01	0.005	0	0.01	0	0	0.005	0.03	0	0.005	0.005	0	0.005	0	0.01	0.025	0	0.005	0	0.005	0.005	0.005	
0	0	0.02	0.005	0	0.005	0.005	0	0.51	0	0.015	0.01	0.005	0	0.01	0	0.005	0.005	0.015	0	0.01	0	0.01	0	0	0	0	0.005	0	0	0.005	0	0.005	0.02	0.01	0.02	0	0.005	0	0	0	0.015	0	0.005	0.005	0.005	0.02	0	0	0	0.005	0.01	0.01	0.03	0.01	0	0.01	0.005	0	0.005	0	0	0.02	0	0	0	0	0	0	0.025	0.005	0.005	0	0.01	0	0	0	0	0	0.005	0.005	0	0.01	0.005	0.01	0.005	0.01	0.005	0	0	0.005	0.015	0.005	0.03	0	0.005	0	0.005	0	0.035	0	0.005	0	0	0.01	0	0.025	0.015	0	0.005	0.01	0.015	0	0.02	0	0.01	0	0.005	0	0	0.005	0	0.01	0.01	0.005	0	0.005	0.005	0.03	0	0.005	0	0.005	0.005	0	0.005	0.005	0	0.005	0	0	0	0	0.005	0.01	0.005	0.005	0	0.005	0	0.005	0	0	0.005	0	0.005	0	0	0	0.015	0	0.025	0.015	0.005	0	0	0.005	0.005	0	0.005	0.01	0.01	0	0.005	0.005	0.015	0	0.01	0.01	0	0	0.01	0.005	0	0.025	0.02	0.005	0	0.005	0	0	0	0	0.005	0	0	0	0.005	0	0	
0	0	0.005	0.005	0.015	0.005	0.02	0	0.505	0	0.01	0	0	0	0.015	0	0.015	0.005	0.005	0.005	0	0	0.005	0	0	0	0	0.005	0	0	0.02	0.015	0.01	0.02	0	0.01	0	0.01	0	0	0.015	0.01	0	0	0.005	0	0.015	0.005	0	0	0.005	0.01	0.01	0.015	0.005	0	0.005	0.005	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0.005	0	0.005	0.01	0	0	0.005	0	0	0.015	0.005	0.015	0.015	0.005	0.005	0	0.005	0.02	0.015	0.005	0.02	0.005	0	0	0.015	0	0.035	0	0.005	0	0	0.01	0	0.04	0.01	0	0.005	0	0.01	0	0.015	0	0.005	0	0.005	0	0	0	0.01	0.005	0.005	0.01	0.01	0	0.01	0.035	0	0.005	0	0.005	0	0	0.015	0	0	0.005	0	0.01	0	0	0.02	0.015	0.005	0.005	0	0	0	0.005	0	0	0	0	0	0.01	0.005	0.005	0.01	0	0.025	0	0	0	0.005	0.02	0	0	0	0.005	0	0	0.015	0	0.015	0	0.015	0.005	0.01	0	0.005	0	0	0.015	0.02	0.005	0	0.005	0	0	0	0	0.01	0	0	0	0	0.005	0	
0	0.005	0.005	0	0.01	0.015	0.01	0	0.475	0	0.02	0.02	0	0	0.005	0	0.02	0.015	0.01	0	0	0.005	0.005	0	0	0	0.005	0.005	0.01	0.01	0.005	0.005	0.005	0.015	0.005	0.015	0	0.015	0	0	0.01	0.015	0	0	0.005	0.005	0.015	0.005	0	0	0.005	0	0.015	0.035	0.005	0.01	0.005	0	0	0.005	0	0	0.01	0	0	0	0.005	0	0.005	0.02	0.005	0	0	0.01	0.01	0	0.025	0	0	0.01	0	0.005	0.005	0	0.01	0.01	0	0.015	0	0.01	0.005	0.02	0	0.025	0	0	0	0.015	0	0.02	0	0.01	0	0.005	0.005	0	0.02	0.005	0	0	0	0.015	0	0.005	0	0.005	0	0	0	0	0	0.005	0	0.005	0.02	0.01	0.01	0.02	0.045	0	0.01	0	0	0.005	0	0.005	0.005	0	0	0	0	0	0	0	0.01	0.01	0.005	0.005	0	0	0.005	0.005	0	0.005	0	0.005	0	0.01	0	0.005	0	0.035	0.005	0	0	0	0	0	0	0.005	0	0.01	0	0.02	0	0.005	0	0.01	0.015	0.015	0	0.01	0.005	0	0.01	0.01	0	0	0.01	0	0	0	0	0.005	0	0	0	0	0.005	0	
